student_id,attendance_percentage,assessment_score,assignment_completion_rate,login_frequency,study_hours,activity_count,communication_score,course_progress_percentage,forum_participation,video_completion_rate,peer_interaction_score,risk_category
STU0001,80.94,52.85,52.73,5.09,7.87,13,80.85,60.07,19,75.08,61.97,Medium Risk
STU0002,69.51,62.4,69.38,8.95,5.99,16,13.66,60.36,12,50.81,60.67,High Risk
STU0003,83.66,50.74,70.36,6.46,7.31,14,47.79,100.0,4,83.21,36.27,Medium Risk
STU0004,99.41,59.46,79.45,9.62,10.86,21,54.08,82.8,8,55.01,66.59,Low Risk
STU0005,67.79,30.91,42.66,12.29,13.11,31,55.35,100.0,14,84.49,25.2,High Risk
STU0006,67.79,68.84,81.85,20.7,10.28,12,58.97,54.07,26,61.97,41.92,Low Risk
STU0007,100.0,65.02,15.91,11.43,8.41,30,68.43,63.13,8,30.14,15.02,High Risk
STU0008,85.81,50.29,57.4,1.31,13.99,12,54.22,35.69,18,46.39,86.17,High Risk
STU0009,63.55,76.87,60.23,23.12,6.75,11,46.9,47.19,9,58.53,50.37,High Risk
STU0010,81.77,81.88,82.67,7.3,12.12,28,46.03,100.0,12,98.1,98.34,Low Risk
STU0011,63.66,36.06,70.45,13.53,6.85,29,41.55,53.52,24,87.83,71.06,High Risk
STU0012,63.62,51.27,41.89,17.57,9.72,28,72.33,100.0,18,100.0,63.96,Medium Risk
STU0013,76.36,51.16,50.3,15.6,7.55,6,40.78,37.65,2,100.0,43.28,High Risk
STU0014,37.56,48.08,73.97,22.75,7.78,15,73.63,41.82,7,56.24,34.07,High Risk
STU0015,40.95,79.93,68.42,17.83,6.49,28,55.42,57.49,22,63.85,65.46,Medium Risk
STU0016,61.88,61.51,58.42,7.11,13.38,20,43.53,63.6,13,58.95,53.57,High Risk
STU0017,53.77,60.24,60.38,31.43,5.07,9,68.6,85.31,2,53.23,28.21,High Risk
STU0018,77.66,28.93,83.92,15.55,5.04,24,39.0,74.92,5,27.49,24.66,High Risk
STU0019,55.66,76.44,59.65,12.82,16.48,12,69.04,55.84,17,67.68,35.83,Medium Risk
